risk,K,n,rep,seed,method,status,success,censored,time_limit_s,time_s,observed_time_s,source,exit_code,status_message,gamma,alpha,epsilon,epsilon_scr,support_kappa,support_tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,stochastic_entropy_kappa,stochastic_smoothing_tau,stochastic_step_size,stochastic_step_decay,stochastic_logit_bound,stochastic_gradient_clip_norm,stochastic_record_every,stochastic_certify_every,stochastic_regret_tolerance,eta,regret1,regret2,has_profile,error,solver,candidate_index,support_eta,screen_eta,best_screen_eta,best_screen_success,best_screen_violation,best_screen_candidate_index,best_screen_message,support_violation,residual_norm,objective,iterations,best_certificate_eta,best_certificate_iteration,uncapped_success,uncapped_eta
cvar,5,5,5,1050628,stochastic_full_batch,completed,False,False,86400,262.62133558899995,262.62133558899995,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0588643140882712,0.02590618132891276,0.0588643140882712,True,,,,nan,nan,,,,,,nan,0.7083857049743288,0.2509051535059884,1000,0.0588643140882712,1000,,
cvar,5,5,5,1050628,stochastic_minibatch,completed,False,False,86400,256.02392195300035,256.02392195300035,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.06526566112502852,0.02262337456322361,0.06526566112502852,True,,,,nan,nan,,,,,,nan,0.6831751402017844,0.23336413609486387,1000,0.06526566112502852,1000,,
cvar,5,5,6,1050629,mcp,completed,True,False,86400,0.04486041700010901,0.04486041700010901,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,6,1050629,screened_dual,completed,True,False,86400,5.774633826000354,5.774633826000354,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.008319160121354807,0.008319160121354807,0.00295102224748911,True,,,3,0.008319160121354807,-0.027744550768078764,,,,,,2.6527335883486103e-11,nan,nan,,nan,,,
cvar,5,5,6,1050629,action_dual,completed,True,False,86400,51.91774854899995,51.91774854899995,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0028043819659961944,0.002804381946942658,0.0028043819659961944,True,,,22,0.0028043819659961944,nan,,,,,,3.1857849691618867e-12,nan,nan,,nan,,,
cvar,5,5,6,1050629,restricted_mcp,completed,True,False,86400,0.9791476229997897,0.9791476229997897,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.00586935719665016,1.4589551788901645e-11,0.00586935719665016,True,,pathampl,24,0.00586935719665016,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,6,1050629,stochastic_full_batch,completed,False,False,86400,268.198527044,268.198527044,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.03892170819137858,0.0275381620109747,0.03892170819137858,True,,,,nan,nan,,,,,,nan,0.5096753064104628,0.12988445898229956,1000,0.03892170819137858,1000,,
cvar,5,5,6,1050629,stochastic_minibatch,completed,False,False,86400,261.5913769990002,261.5913769990002,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.07673278140884077,0.029633110447725652,0.07673278140884077,True,,,,nan,nan,,,,,,nan,0.7089031026572878,0.2512718044785646,1000,0.07673278140884077,1000,,
cvar,5,5,7,1050630,mcp,completed,True,False,86400,0.05641647299989927,0.05641647299989927,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,7,1050630,screened_dual,completed,True,False,86400,1.377146448000076,1.377146448000076,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0027753381192072712,0.0027753381192072712,0.0027753381192023863,True,,,1,0.0027753381192072712,-0.028641684179541015,,,,,,3.4416913763379853e-15,nan,nan,,nan,,,
cvar,5,5,7,1050630,action_dual,completed,True,False,86400,2.651695842999743,2.651695842999743,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.008144486052234112,0.008144486052234112,0.008144486050500777,True,,,2,0.008144486052234112,nan,,,,,,3.3930636078594034e-12,nan,nan,,nan,,,
cvar,5,5,7,1050630,restricted_mcp,completed,True,False,86400,0.2298306140000932,0.2298306140000932,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,2.3582802377575263e-11,0.0,2.3582802377575263e-11,True,,pathampl,6,2.3582802377575263e-11,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,7,1050630,stochastic_full_batch,completed,False,False,86400,269.6115174759998,269.6115174759998,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.02945439374409442,0.02945439374409442,0.025592047252361194,True,,,,nan,nan,,,,,,nan,0.5097993927754,0.12994771043708328,1000,0.02945439374409442,1000,,
cvar,5,5,7,1050630,stochastic_minibatch,completed,False,False,86400,258.5831666549998,258.5831666549998,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.032220639973825294,0.032220639973825294,0.030671049730714772,True,,,,nan,nan,,,,,,nan,0.7157332721836087,0.25613705845532786,1000,0.032220639973825294,100,,
cvar,5,5,8,1050631,mcp,completed,True,False,86400,0.05273661799992624,0.05273661799992624,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,8,1050631,screened_dual,completed,True,False,86400,25.718557288000284,25.718557288000284,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0021390880583129768,0.0021390880537450196,0.0021390880583129768,True,,,7,0.0021390880583129768,-0.02048213692065406,,,,,,6.2505001174884e-12,nan,nan,,nan,,,
cvar,5,5,8,1050631,action_dual,completed,True,False,86400,18.332965938000143,18.332965938000143,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.007657883682156974,0.007657883681984834,0.007657883682156974,True,,,8,0.007657883682156974,nan,,,,,,5.42343947529389e-13,nan,nan,,nan,,,
cvar,5,5,8,1050631,restricted_mcp,completed,True,False,86400,1.1527476119999847,1.1527476119999847,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,pathampl,27,0.0,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,8,1050631,stochastic_full_batch,completed,False,False,86400,264.0366063360002,264.0366063360002,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.04756522694137111,0.04756522694137111,0.02338914536322456,True,,,,nan,nan,,,,,,nan,0.7089084634820962,0.25127560479827327,1000,0.04756522694137111,1000,,
cvar,5,5,8,1050631,stochastic_minibatch,completed,False,False,86400,264.9937016640001,264.9937016640001,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.03305185371829683,0.03305185371829683,0.03164371804433841,True,,,,nan,nan,,,,,,nan,0.7183013713128985,0.25797843001499526,1000,0.03305185371829683,1000,,
cvar,5,5,9,1050632,mcp,completed,True,False,86400,0.053577569000026415,0.053577569000026415,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,9,1050632,screened_dual,completed,True,False,86400,1.1179135150000548,1.1179135150000548,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,2.6978419498391304e-13,2.6978419498391304e-13,1.1102230246251565e-16,True,,,1,2.6978419498391304e-13,-0.060543464404422764,,,,,,9.346967644319193e-13,nan,nan,,nan,,,
cvar,5,5,9,1050632,action_dual,completed,True,False,86400,3.535551383999973,3.535551383999973,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.009984828817807267,0.009984828817807267,0.009984828817555691,True,,,2,0.009984828817807267,nan,,,,,,1.2453926778732693e-12,nan,nan,,nan,,,
cvar,5,5,9,1050632,restricted_mcp,completed,False,False,86400,0.5498374210001202,0.5498374210001202,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,9,1050632,stochastic_full_batch,completed,False,False,86400,265.64842775000034,265.64842775000034,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.1188752628667189,0.05565489315932448,0.1188752628667189,True,,,,nan,nan,,,,,,nan,0.7107401302745738,0.2525757663913591,1000,0.1188752628667189,1000,,
cvar,5,5,9,1050632,stochastic_minibatch,completed,False,False,86400,263.87665765300017,263.87665765300017,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0890980020340365,0.04578568645002995,0.0890980020340365,True,,,,nan,nan,,,,,,nan,0.741670263329346,0.2750373897535108,1000,0.0890980020340365,1000,,
cvar,5,5,10,1050633,mcp,completed,True,False,86400,0.05540030900010606,0.05540030900010606,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,6.084022174945858e-14,1.63202784619898e-14,6.084022174945858e-14,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
