K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,10,51140,0.5,0.01,4,5,401.7543373750523,False,0.013186760709972933,0.06892800005152822,True,1.3631040740591516e-10
5,10,51141,0.5,0.01,4,5,12.495481707854196,True,1.4432899320127035e-15,0.11325541604310274,True,2.886579864025407e-15
5,10,51142,0.5,0.01,4,5,23.259777042083442,True,0.009586222911801778,0.1736600419972092,True,1.887379141862766e-15
5,20,52123,0.5,0.01,5,5,2.5768034169450402,True,0.009452207775504595,0.18680000002495944,True,8.881784197001252e-16
5,20,52124,0.5,0.01,5,5,364.09462075005285,True,0.005679329433128211,0.35924245812930167,False,
5,20,52125,0.5,0.01,5,5,35.365046499995515,True,0.005095742569830142,0.37267183302901685,False,
5,20,52126,0.5,0.01,5,5,112.73712941608392,True,0.003619363463828962,0.2505525001324713,True,-1.5634160632771454e-12
5,20,52127,0.5,0.01,5,5,131.73471324983984,True,0.0037926159357450917,0.4668544589076191,False,
5,20,52128,0.5,0.01,5,5,4.721504750195891,True,0.0031074991638835314,0.20832274993881583,True,1.4876988529977098e-14
5,20,52129,0.5,0.01,5,5,11.15087675000541,True,0.003453246015445055,0.4178256669547409,True,9.08965125390182e-11
5,20,52130,0.5,0.01,5,5,0.7405167501419783,True,0.00625427452888172,0.2391319170128554,True,3.4416913763379853e-15
5,20,52131,0.5,0.01,5,5,15.16181412502192,True,0.005649496201598492,0.18385625001974404,True,4.884981308350689e-15
5,20,52132,0.5,0.01,5,5,9.892532666912302,True,0.009368704510583026,0.2092122919857502,True,4.773959005888173e-15
5,20,52133,0.5,0.01,5,5,86.10142674995586,True,3.6637359812630166e-15,0.21046754205599427,True,3.1086244689504383e-15
5,20,52134,0.5,0.01,5,5,66.33104999992065,True,0.006738509319221153,0.33158966712653637,True,4.677314091594553e-11
5,20,52135,0.5,0.01,5,5,871.104147166945,False,0.014275366207225804,0.24764700001105666,True,1.9984014443252818e-15
5,20,52136,0.5,0.01,5,5,0.6522674169391394,True,0.006392758223295547,0.14356929110363126,True,1.3602452497707418e-12
5,20,52137,0.5,0.01,5,5,136.0275299581699,True,0.0065310411946524205,0.25635408400557935,True,-6.535594287981894e-11
5,20,52138,0.5,0.01,5,5,26.084941791836172,True,1.0103029524088925e-14,0.20157037512399256,True,3.774758283725532e-15
5,20,52139,0.5,0.01,5,5,4.112776207970455,True,1.1094791751986577e-10,0.18452204181812704,True,1.9984014443252818e-15
5,20,52140,0.5,0.01,5,5,12.687603541882709,True,0.007063192760845882,0.20675370818935335,True,2.3314683517128287e-15
5,20,52141,0.5,0.01,5,5,748.0958759170026,False,0.015975914107082212,0.362143584061414,True,8.739786672151695e-12
5,20,52142,0.5,0.01,5,5,136.9275972500909,True,0.008119745107268206,0.25068745808675885,True,7.66053886991358e-15
5,50,55123,0.5,0.01,8,5,598.5802754589822,True,0.008059722884648846,1.2713803751394153,True,5.662137425588298e-15
5,50,55124,0.5,0.01,8,5,33.609788374975324,True,0.007174495077161391,1.6143283329438418,False,
5,50,55125,0.5,0.01,8,5,441.0574790830724,True,0.000858918735688996,0.999975792132318,True,2.886579864025407e-14
5,50,55126,0.5,0.01,8,5,419.54054708289914,True,0.006862164678950178,2.1575123749207705,False,
5,50,55127,0.5,0.01,8,5,70.77715466707014,True,0.005555188700116953,0.911319833016023,True,2.1760371282653068e-14
5,50,55128,0.5,0.01,8,5,1384.4146188329905,True,0.004454190156971016,1.8456271251197904,True,8.348877145181177e-14
5,50,55129,0.5,0.01,8,5,141.29393254197203,True,0.00898573599773067,1.0480928330216557,True,4.884981308350689e-15
5,50,55130,0.5,0.01,8,5,1254.8029737500474,False,0.011214685400659063,1.249759707832709,False,
5,50,55131,0.5,0.01,8,5,145.8516799591016,True,0.0026086466527798224,1.0827839579433203,True,8.337774914934926e-14
5,50,55132,0.5,0.01,8,5,1158.361680333037,False,0.010011324603099392,0.5868190829642117,True,4.773959005888173e-15
5,50,55133,0.5,0.01,8,5,199.22206779196858,True,0.0043312473957382025,1.7867657081224024,False,
5,50,55134,0.5,0.01,8,5,1382.4016513340175,False,0.012498972614348958,0.8802355001680553,False,
5,50,55135,0.5,0.01,8,5,383.2780521248933,True,3.319566843629218e-14,1.2820162088610232,True,3.2307490016592055e-14
