risk,K,n,rep,seed,gamma,alpha,epsilon,low,high,profile,uniform_success,uniform_eta,uniform_regret1,uniform_regret2,uniform_rho1,uniform_rho2,uniform_time_s
cvar,250,10,63,3501186,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002076516365149772,0.002076516365149772,0.000565295122047671,0.4876742695314003,0.4882522251834075,0.00655149994418025
cvar,250,10,64,3501187,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002574306296157791,0.002574306296157791,0.0008342981520986226,0.4883955517359516,0.48877728444847623,0.006736708339303732
cvar,250,10,65,3501188,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0039913682954703655,0.0039913682954703655,0.0010116305700897943,0.49045287871969667,0.48622397525243743,0.0063725421205163
cvar,250,10,66,3501189,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018838638240916694,0.0012996011123668771,0.0018838638240916694,0.48820333884969735,0.48424131997352693,0.006397166755050421
cvar,250,10,67,3501190,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0027596055339420555,0.0027596055339420555,0.0025672232002507123,0.4887316483795785,0.49064810049189655,0.0063682496547698975
cvar,250,10,68,3501191,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0012554245904698447,0.0009707631133643035,0.0012554245904698447,0.4907504902345277,0.4902733113908218,0.00641633290797472
cvar,250,10,69,3501192,0.5,0.5,0.01,0.0,1.0,uniform,True,0.003111596381081827,0.0017989582235724555,0.003111596381081827,0.4905910417110626,0.48959905223706224,0.006432041991502047
cvar,250,10,70,3501193,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0016958255373373254,0.0016958255373373254,0.0010777199232002155,0.48947059086086436,0.48955094328528764,0.0065938751213252544
cvar,250,10,71,3501194,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0030605167835213165,0.0030605167835213165,0.0011639333610662939,0.4878881550779172,0.48670908247896016,0.006460458040237427
cvar,250,10,72,3501195,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0012674698764437164,0.0012674698764437164,0.0004719196361925859,0.4871893546389725,0.4845211541181336,0.006483917124569416
cvar,250,10,73,3501196,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002506290992881466,0.002506290992881466,0.0004221866057823598,0.48835547652099054,0.4880334373191337,0.006520957686007023
cvar,250,10,74,3501197,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019349403924486253,0.000564459442419174,0.0019349403924486253,0.486895188103169,0.4921907303681474,0.006720041856169701
cvar,250,10,75,3501198,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002519714375966875,0.0023851380753671103,0.002519714375966875,0.48720703345657823,0.4918503418775512,0.006307499948889017
cvar,250,10,76,3501199,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001855751240207426,0.001855751240207426,0.00160492613090224,0.486051424777752,0.48872447741939434,0.006290417164564133
cvar,250,10,77,3501200,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002314510476438103,0.0015203250894386677,0.002314510476438103,0.4862930335452843,0.48807200482026164,0.006635542027652264
cvar,250,10,78,3501201,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0026648611113151977,0.0026648611113151977,0.0014900701231747027,0.4906275865258517,0.48659134894196643,0.006372916977852583
cvar,250,10,79,3501202,0.5,0.5,0.01,0.0,1.0,uniform,True,0.00227524861053513,0.0020456581524232464,0.00227524861053513,0.4891567521540303,0.49022638392752,0.0061414591036736965
cvar,250,10,80,3501203,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0016049171202556223,0.0013726102239305371,0.0016049171202556223,0.4898353793539124,0.48845045476758675,0.006626249756664038
cvar,250,10,81,3501204,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019810969895255326,0.0013586663858006776,0.0019810969895255326,0.4878738819318516,0.4880552810392365,0.0061469171196222305
cvar,250,10,82,3501205,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0021705966284491507,0.0021124638199444545,0.0021705966284491507,0.4885572382990412,0.4882719231130552,0.00638554198667407
cvar,250,10,83,3501206,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0013222239701478622,0.0013222239701478622,0.0009957499593689079,0.4885135157175352,0.4878106205927143,0.006540500093251467
cvar,250,10,84,3501207,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018438056004870806,0.0018438056004870806,0.0012390139238537268,0.4890598838422122,0.4913381308554968,0.006283875089138746
cvar,250,10,85,3501208,0.5,0.5,0.01,0.0,1.0,uniform,True,0.00276093124829907,0.00276093124829907,0.0014367605198069011,0.48932590869067566,0.4885025055797154,0.00658204173669219
