K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,small_screen_eta,small_support_eta,small_has_profile,mcp_time_s,mcp_success,mcp_eta
30,20,302142,0.5,0.01,5,6,62.49955900013447,True,0.00025733489266110965,-0.004125813249443906,0.00025733489266110965,True,1.0749644576571882,True,4.989342272665453e-13
30,50,305123,0.5,0.01,8,6,1253.0923325410113,False,,0.012591918704110602,,False,11.295203417073935,False,
30,50,305124,0.5,0.01,8,6,709.0431648753583,True,0.0007510999811166652,0.0012191478105140858,0.0007510999811166652,True,6.717837665695697,True,7.283063041541027e-14
30,50,305125,0.5,0.01,8,6,669.409555291757,True,0.007320447034480426,0.003694977894166254,0.007320447034480426,True,9.968391541857272,False,
30,50,305126,0.5,0.01,8,6,1238.5305345002562,False,,0.007420185309063874,,False,10.049797208979726,False,
30,50,305127,0.5,0.01,8,6,725.7815120001324,True,0.0053358947635736564,0.000368084209576089,0.0053358947635736564,True,10.070700666867197,False,
30,50,305128,0.5,0.01,8,6,1656.7710011671297,False,0.011535313440238837,0.0026391529061473365,0.011535313440238837,True,9.745198207907379,False,
30,50,305129,0.5,0.01,8,6,871.5991156669334,True,0.0019800314088171955,-0.00024360245920199247,0.0019800314088171955,True,10.07660154113546,False,
30,50,305130,0.5,0.01,8,6,1196.8165641250089,True,0.003267689568015708,0.00589441956837545,0.003267689568015708,True,6.166903708130121,True,1.8095525078365426e-12
30,50,305131,0.5,0.01,8,6,1395.1630412917584,True,0.006247283186942343,0.004562583488849778,0.006247283186942343,True,10.166310457978398,False,
30,50,305132,0.5,0.01,8,6,1287.1421171249822,False,,0.009026075027669151,,False,10.609299249947071,False,
30,50,305133,0.5,0.01,8,6,965.5962111670524,True,0.0059687411062654405,0.0050190769319009955,0.0059687411062654405,True,9.655185792129487,False,
30,50,305134,0.5,0.01,8,6,1405.0321811251342,True,0.006824589966660022,0.0023926584952980064,0.006824589966660022,True,10.332132499665022,False,
30,50,305135,0.5,0.01,8,6,1502.0741743752733,True,0.008459244865270055,0.0012018601653793067,0.008459244865270055,True,6.65382479224354,True,2.886579864025407e-13
30,50,305136,0.5,0.01,8,6,667.0394887500443,True,0.0016771982284752296,0.004600160198985693,0.0016771982284752296,True,6.662461291998625,True,0.0
30,50,305137,0.5,0.01,8,6,1460.2445839168504,True,0.005023803615993749,-0.0013200940612903504,0.005023803615993749,True,8.154936249833554,False,
30,50,305138,0.5,0.01,8,6,481.1699263751507,True,0.005390343503617223,0.0063453379514897285,0.005390343503617223,True,36.29231058387086,False,
30,50,305139,0.5,0.01,8,6,1234.5553841670044,False,,0.007302043146045533,,False,4.449127584230155,False,
30,50,305140,0.5,0.01,8,6,1132.8022892093286,False,,0.01245521606328467,,False,5.9460602081380785,False,
30,50,305141,0.5,0.01,8,6,912.7833585422486,True,0.0062698302715800125,0.0017443428547427625,0.0062698302715800125,True,6.233531083911657,False,
30,50,305142,0.5,0.01,8,6,516.0469738752581,True,0.0069682988659508505,0.0032814846734006056,0.0069682988659508505,True,6.198756583966315,True,0.0
100,5,1000623,0.5,0.01,3,10,65.70194987487048,True,1.1807138736552591e-05,-0.02310703140397993,1.1807138736552591e-05,True,1.1503685000352561,True,5.83033621381901e-13
100,5,1000624,0.5,0.01,3,10,52.542793000116944,True,0.00031587583500974903,-0.1291142278387886,0.00031587583500974903,True,1.9291732083074749,True,3.0980773502164993e-13
100,5,1000625,0.5,0.01,3,10,56.78470274992287,True,0.007128236048207226,-0.08512223374209064,0.007128236048207226,True,0.4406117922626436,True,2.708944180085382e-14
100,5,1000626,0.5,0.01,3,10,54.24978554202244,True,0.0010503650009708876,-0.08602009595525471,0.0010503650009708876,True,2.1422422910109162,True,1.1102230246251565e-16
100,5,1000627,0.5,0.01,3,10,97.47675858298317,True,0.004999865058618658,-0.11062330538868184,0.004999865058618658,True,1.1482380419038236,True,2.6040281042583047e-13
100,5,1000628,0.5,0.01,3,10,81.35325329238549,True,0.0013117808238428674,-0.06250540526214232,0.0013117808238428674,True,1.3598373332060874,True,1.942890293094024e-15
100,5,1000629,0.5,0.01,3,10,105.7216105000116,True,0.005605735431382375,-0.037375124375370834,0.005605735431382375,True,0.8412973750382662,True,5.551115123125783e-17
100,5,1000630,0.5,0.01,3,10,48.97495025023818,True,0.009531713171513578,-0.06605079665904709,0.009531713171513578,True,0.7506631249561906,True,2.220446049250313e-16
100,5,1000631,0.5,0.01,3,10,91.68896562512964,True,0.009954650313197533,-0.12908185224424198,0.009954650313197533,True,0.6406310410238802,True,4.39648317751562e-14
100,5,1000632,0.5,0.01,3,10,41.71884720772505,True,0.006629511320902837,-0.08427226795995302,0.006629511320902837,True,0.632765875197947,True,1.73749903353837e-14
100,5,1000633,0.5,0.01,3,10,40.517313291784376,True,0.007866206421637545,-0.08516593880947404,0.007866206421637545,True,0.39521866710856557,True,0.0
100,5,1000634,0.5,0.01,3,10,38.697284165769815,True,0.0033328073127432134,-0.037217581271086854,0.0033328073127432134,True,0.7727239588275552,True,0.0
100,5,1000635,0.5,0.01,3,10,41.338066041935235,True,0.00363366908023649,-0.050276639988067785,0.00363366908023649,True,2.8839728753082454,False,
100,5,1000636,0.5,0.01,3,10,60.00602729199454,True,0.008502302304541964,-0.05285849318097063,0.008502302304541964,True,0.6887910831719637,True,0.0
100,5,1000637,0.5,0.01,3,10,117.29167762538418,True,0.006733393771376162,-0.11201752933752575,0.006733393771376162,True,1.0858903750777245,True,1.1102230246251565e-16
100,5,1000638,0.5,0.01,3,10,40.00148641690612,True,0.0077265890370919466,-0.047088908126979995,0.0077265890370919466,True,1.092015165835619,True,0.0
100,5,1000639,0.5,0.01,3,10,85.09046516567469,True,8.561734067535909e-05,-0.12013192921465635,8.561734067535909e-05,True,0.3777959579601884,True,0.0
100,5,1000640,0.5,0.01,3,10,48.75531604234129,True,0.008815674650034633,-0.1299266647003177,0.008815674650034633,True,1.0951110408641398,True,3.1716851367491472e-12
100,5,1000641,0.5,0.01,3,10,45.653428208082914,True,0.0020965880364445244,-0.08397982691947815,0.0020965880364445244,True,0.5975254997611046,True,1.2330692022999301e-12
100,5,1000642,0.5,0.01,3,10,136.38489104202017,True,0.006208299326894262,-0.1118657472058209,0.006208299326894262,True,3.263647625222802,False,
100,10,1001123,0.5,0.01,4,10,179.1544552501291,True,0.0087276780442615,-0.012436216546731795,0.0087276780442615,True,0.7682791673578322,True,5.193789842650176e-12
100,10,1001124,0.5,0.01,4,10,115.00553433271125,True,0.0010567085600933224,-0.041003957528017485,0.0010567085600933224,True,0.9166188333183527,True,4.5852210917018965e-14
100,10,1001125,0.5,0.01,4,10,397.0375057924539,True,0.0038285890257144795,-0.002460965084048308,0.0038285890257144795,True,1.683520708233118,False,
100,10,1001126,0.5,0.01,4,10,56.00451875012368,True,0.004741290554779565,-0.07612846516785304,0.004741290554779565,True,1.0547417919151485,True,1.1322054405127346e-12
100,10,1001127,0.5,0.01,4,10,73.45521545829251,True,0.006481282738904803,-0.004687171334930064,0.006481282738904803,True,1.6286181658506393,True,1.1102230246251565e-16
100,10,1001128,0.5,0.01,4,10,76.26299441605806,True,0.003917936310949721,-0.005955292733795559,0.003917936310949721,True,1.2206240827217698,True,2.220446049250313e-16
100,10,1001129,0.5,0.01,4,10,218.28306241659448,True,0.004831231837519434,-0.033863952374039864,0.004831231837519434,True,5.869221707805991,False,
100,10,1001130,0.5,0.01,4,10,319.522524042055,True,0.008014498661348679,-0.007658666543784996,0.008014498661348679,True,4.379925082903355,False,
100,10,1001131,0.5,0.01,4,10,96.52096741693094,True,0.00987708167075313,-0.039169971069336194,0.00987708167075313,True,1.0085077499970794,True,3.497202527569243e-14
100,10,1001132,0.5,0.01,4,10,144.54766133287922,True,0.007673671447384567,-0.03140657883510517,0.007673671447384567,True,1.7700722091831267,True,4.819478149897805e-13
100,10,1001133,0.5,0.01,4,10,86.7791771250777,True,0.004596208909684152,-0.016785329798801537,0.004596208909684152,True,1.3419630001299083,True,0.0
100,10,1001134,0.5,0.01,4,10,218.81826758291572,True,0.0078108027155537885,-0.06053011079309857,0.0078108027155537885,True,5.5815626247785985,False,
100,10,1001135,0.5,0.01,4,10,142.63229512469843,True,0.005805490866127805,-0.02506017208823128,0.005805490866127805,True,4.4579969169572,False,
100,10,1001136,0.5,0.01,4,10,361.64207704085857,True,0.009607008857216881,-0.01531736265599866,0.009607008857216881,True,3.1855774577707052,True,1.1102230246251565e-16
100,10,1001137,0.5,0.01,4,10,59.56350008305162,True,0.0010786108755150847,-0.0379971437764869,0.0010786108755150847,True,3.192918333224952,True,1.887379141862766e-15
100,10,1001138,0.5,0.01,4,10,73.10218358272687,True,0.00664269340869561,-0.021300353426533025,0.00664269340869561,True,1.236755708232522,True,1.9062529332813938e-13
100,10,1001139,0.5,0.01,4,10,135.41949329106137,True,0.009738963297206416,-0.03027651169347879,0.009738963297206416,True,7.273075667209923,False,
100,10,1001140,0.5,0.01,4,10,124.05271904077381,True,0.007389531919258729,-0.01540658706015374,0.007389531919258729,True,1.5780838746577501,True,2.3869795029440866e-14
100,10,1001141,0.5,0.01,4,10,93.24400179181248,True,0.006439938648434507,-0.007493384589305342,0.006439938648434507,True,1.2594203753396869,True,2.220446049250313e-16
100,10,1001142,0.5,0.01,4,10,246.1654658340849,True,0.0034373792960766814,-0.018547975315084102,0.0034373792960766814,True,6.2624376667663455,False,
100,20,1002123,0.5,0.01,5,10,201.76300845807418,True,0.008720027520451312,-0.000523825418121089,0.008720027520451312,True,3.5680656656622887,True,0.0
100,20,1002124,0.5,0.01,5,10,289.32032691687346,True,0.003969653874004053,-0.009816830779831733,0.003969653874004053,True,9.581563292071223,False,
100,20,1002125,0.5,0.01,5,10,100.95704387500882,True,0.007401225371123088,0.006177852255784707,0.007401225371123088,True,3.4186165826395154,True,1.3489209749195652e-13
100,20,1002126,0.5,0.01,5,10,264.38224070798606,True,0.00920435402436337,-0.006003576676070707,0.00920435402436337,True,8.49765258282423,False,
100,20,1002127,0.5,0.01,5,10,374.9731909162365,True,0.008320267666965087,0.005435993792654076,0.008320267666965087,True,9.567526665981859,False,
100,20,1002128,0.5,0.01,5,10,104.62723720818758,True,0.0069162419786098495,-0.003866558510518911,0.0069162419786098495,True,8.900237833149731,False,
100,20,1002129,0.5,0.01,5,10,397.7015229589306,True,0.00677609379379418,-0.0014092795405582243,0.00677609379379418,True,6.3769619590602815,False,
100,20,1002130,0.5,0.01,5,10,418.6438803328201,True,0.008884193446847322,0.004688422313940886,0.008884193446847322,True,3.7514075422659516,False,
100,20,1002131,0.5,0.01,5,10,675.5436912919395,True,0.009182133586170038,-0.0072047928238046025,0.009182133586170038,True,9.62797954166308,False,
100,20,1002132,0.5,0.01,5,10,148.5208841250278,True,0.007811928635710508,-0.023472573462222243,0.007811928635710508,True,10.103432207833976,False,
100,20,1002133,0.5,0.01,5,10,123.0742099583149,True,0.008560355848752366,0.005889480385781083,0.008560355848752366,True,7.191515374928713,False,
100,20,1002134,0.5,0.01,5,10,140.8423939170316,True,0.007669042131885906,-0.002489075637441641,0.007669042131885906,True,11.152575333137065,False,
100,20,1002135,0.5,0.01,5,10,149.5867721666582,True,0.005771837862997009,-0.0019957997450834835,0.005771837862997009,True,9.691402750089765,False,
100,20,1002136,0.5,0.01,5,10,200.59430858306587,True,0.008286155533522188,-0.009852144127818013,0.008286155533522188,True,8.271314249839634,False,
100,20,1002137,0.5,0.01,5,10,326.076830459293,True,0.009381226662202646,0.00467990811630487,0.009381226662202646,True,3.6415538326837122,True,0.0
100,20,1002138,0.5,0.01,5,10,261.1952528329566,True,0.006423296709826443,0.0013495933929284643,0.006423296709826443,True,10.902389457914978,False,
100,20,1002139,0.5,0.01,5,10,92.6376830409281,True,0.007938230586688966,-0.007904311491835705,0.007938230586688966,True,15.824106458108872,False,
100,20,1002140,0.5,0.01,5,10,557.2596144159324,True,0.009448920059879073,-0.011494524661962869,0.009448920059879073,True,13.711387250106782,False,
100,20,1002141,0.5,0.01,5,10,118.6425824998878,True,0.008685778408562217,0.00517089802820255,0.008685778408562217,True,7.384953333064914,False,
100,20,1002142,0.5,0.01,5,10,138.28952016681433,True,0.0044708330463437695,0.0022357829417656238,0.0044708330463437695,True,9.020592084154487,False,
100,50,1005123,0.5,0.01,8,10,1965.4446674170904,False,,0.013655671741286981,,False,35.824383166152984,False,
100,50,1005124,0.5,0.01,8,10,2038.038773166947,False,,0.01049871658362036,,False,36.403933625202626,False,
100,50,1005125,0.5,0.01,8,10,1948.7190016671084,False,,0.007802409062658762,,False,33.565948540810496,False,
100,50,1005126,0.5,0.01,8,10,1933.6378632499836,False,,0.008951812146972932,,False,33.89375462476164,False,
100,50,1005127,0.5,0.01,8,10,2002.6988428747281,False,,0.011267672939080528,,False,43.523873209021986,False,
100,50,1005128,0.5,0.01,8,10,1933.7609455408528,False,,0.007329892702612864,,False,38.193407708313316,False,
100,50,1005129,0.5,0.01,8,10,1849.656750000082,False,,0.009688287199130709,,False,29.954867084044963,False,
100,50,1005130,0.5,0.01,8,10,1925.3025242500007,False,,0.007993445711177547,,False,24.887247083242983,False,
100,50,1005131,0.5,0.01,8,10,1006.5674661248922,True,0.009744095159842092,0.0035888153233471147,0.009744095159842092,True,46.74455237528309,False,
100,50,1005132,0.5,0.01,8,10,1894.3340974580497,False,,0.007232336591570408,,False,19.707106499932706,False,
100,50,1005133,0.5,0.01,8,10,1356.6319427499548,True,0.00573232654116651,0.006555136310354841,0.00573232654116651,True,33.337078750133514,False,
100,50,1005134,0.5,0.01,8,10,1716.2173477499746,False,,0.01233879525498315,,False,15.215543834026903,False,
