K,n,seed,gamma,alpha,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,50,55141,0.5,0.05,0.01,8,5,5981.397806250025,False,0.014351315389800057,1.0945352502167225,False,9.313406532525992
5,50,55142,0.5,0.05,0.01,8,5,5261.77801999962,False,0.015126640927412671,1.421259416732937,False,
10,5,100623,0.5,0.05,0.01,3,5,185.12606737483293,True,0.00898774370705313,0.14963183319196105,True,-2.9854319016919817e-10
10,5,100624,0.5,0.05,0.01,3,5,212.2559333331883,True,0.007710743947227761,0.16138395899906754,True,-2.480338157084816e-11
10,5,100625,0.5,0.05,0.01,3,5,78.76386275002733,True,0.0010596028478201402,0.10716758295893669,True,-9.527872935066739e-11
10,5,100626,0.5,0.05,0.01,3,5,210.24179808283225,True,0.005533913867912743,0.12474358407780528,True,-4.2747916317864565e-11
10,5,100627,0.5,0.05,0.01,3,5,95.47340745758265,True,0.00800901362804185,0.1077259168960154,True,-1.1076695116685187e-12
10,5,100628,0.5,0.05,0.01,3,5,847.0622026668862,True,0.003361599396793591,0.12487054197117686,True,2.7056135110115065e-13
10,5,100629,0.5,0.05,0.01,3,5,43.79941474972293,True,0.006476513319500554,0.13199445884674788,True,0.0
10,5,100630,0.5,0.05,0.01,3,5,251.88076533423737,True,0.00985514644063823,0.15105487499386072,True,-1.1895340268353038e-10
10,5,100631,0.5,0.05,0.01,3,5,7.707204166799784,True,0.006417379459382255,0.1200292082503438,True,-6.666855956183326e-11
10,5,100632,0.5,0.05,0.01,3,5,1169.7955309161916,True,0.008395045685515634,0.1594402496702969,True,5.525579993559404e-13
10,5,100633,0.5,0.05,0.01,3,5,96.89963999995962,True,0.0048370810776781625,0.12954324996098876,True,-4.2149062018381755e-12
10,5,100634,0.5,0.05,0.01,3,5,395.3938739579171,True,0.009739305180029412,0.14403108321130276,True,-6.099787341895535e-12
10,5,100635,0.5,0.05,0.01,3,5,3.005357749760151,True,0.003158189613300333,0.12615333264693618,True,4.300848566174409e-11
10,5,100636,0.5,0.05,0.01,3,5,72.43573566665873,True,0.003330564418949966,0.10981308296322823,True,3.0880742407646267e-11
10,5,100637,0.5,0.05,0.01,3,5,1301.7560305423103,True,0.0072224873872624995,0.08986799977719784,True,-1.4234724510231445e-11
10,5,100638,0.5,0.05,0.01,3,5,314.2274992079474,True,0.0070982006897929995,0.11645891610532999,True,2.0539125955565396e-15
10,5,100639,0.5,0.05,0.01,3,5,83.31750850006938,True,0.00021910393472501788,0.13253129227086902,True,1.8251927191847983e-09
10,5,100640,0.5,0.05,0.01,3,5,127.42654662486166,True,0.008231984043730267,0.13971195835620165,True,4.04994926483937e-11
10,5,100641,0.5,0.05,0.01,3,5,657.4930417910218,True,0.00924308980304589,0.10617924993857741,True,-1.0490430746301627e-10
10,5,100642,0.5,0.05,0.01,3,5,1985.2686020000838,True,0.008707913288490854,0.11471820808947086,True,1.9996670985733545e-11
10,10,101123,0.5,0.05,0.01,4,5,801.0677399579436,True,0.006120735338167926,0.15827970765531063,True,-4.5916603852447224e-12
10,10,101124,0.5,0.05,0.01,4,5,2442.4460867079906,False,0.015675011124413385,0.29426012467592955,False,
10,10,101125,0.5,0.05,0.01,4,5,2436.0884966249578,False,0.010330045801417165,0.28772850008681417,False,
10,10,101126,0.5,0.05,0.01,4,5,2574.3322516251355,False,0.01150456913321185,0.15530649991706014,True,2.220446049250313e-16
10,10,101127,0.5,0.05,0.01,4,5,7.143112416844815,True,1.0708067765818896e-10,0.27278437511995435,True,-1.5317603851983108e-09
10,10,101128,0.5,0.05,0.01,4,5,2362.811812542379,False,0.010494359773490669,0.1371552087366581,True,-2.0494606012277927e-11
10,10,101129,0.5,0.05,0.01,4,5,84.01589641720057,True,0.004673113089613823,0.42032941710203886,False,
10,10,101130,0.5,0.05,0.01,4,5,2445.519049709197,False,0.01488739276722606,0.1402989998459816,True,-1.202503652208975e-10
10,10,101131,0.5,0.05,0.01,4,5,83.85192949976772,True,0.009511647793021827,0.15014504129067063,True,-3.7903014060702844e-13
10,10,101132,0.5,0.05,0.01,4,5,1975.3200694173574,False,0.015062563868456724,0.2909689168445766,False,
10,10,101133,0.5,0.05,0.01,4,5,2883.9545829580165,False,0.014384075276216324,0.24211337510496378,True,-2.316924430090239e-12
10,10,101134,0.5,0.05,0.01,4,5,2737.1828431254253,False,0.01536225074804276,0.16525370767340064,True,-2.815928601407336e-10
10,10,101135,0.5,0.05,0.01,4,5,1756.25952387508,True,0.009198162801559273,0.1987653337419033,True,-1.0415002194008594e-12
10,10,101136,0.5,0.05,0.01,4,5,2213.557773833163,False,0.0101827771204136,0.18962733400985599,True,-3.5319056568283713e-09
