K,n,seed,gamma,epsilon,epsilon_scr,kappa,tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,methods,dual_success,dual_time_s,dual_eta,dual_regret1,dual_regret2,dual_screen_eta,dual_support_eta,dual_dual_eta,dual_support_violation,dual_mcp_time_s,dual_solver,dual_candidate_index,dual_has_profile,dual_best_dev1_success,dual_best_dev2_success,dual_error,restricted_mcp_success,restricted_mcp_time_s,restricted_mcp_eta,restricted_mcp_regret1,restricted_mcp_regret2,restricted_mcp_screen_eta,restricted_mcp_support_eta,restricted_mcp_dual_eta,restricted_mcp_support_violation,restricted_mcp_mcp_time_s,restricted_mcp_solver,restricted_mcp_candidate_index,restricted_mcp_has_profile,restricted_mcp_best_dev1_success,restricted_mcp_best_dev2_success,restricted_mcp_error,eta_diff_mcp_minus_dual,time_ratio_mcp_over_dual,x_l1_mcp_minus_dual,y_l1_mcp_minus_dual
10,5,100623,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.7703047501854599,0.008403644812138233,0.008403644801797339,0.008403644812138233,nan,0.008403644812138233,0.008403644803348237,1.996252235890612e-11,nan,,3,True,True,True,,True,1.4347951668314636,9.992007221626409e-16,1.1102230246251565e-16,9.992007221626409e-16,nan,9.992007221626409e-16,nan,nan,0.020475749857723713,pathampl,41,True,True,True,,-0.008403644812137234,1.8626331545872201,1.1626266021435974,0.9467926696223139
10,5,100624,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.2206862918101251,0.008890421215999533,0.008890421210965227,0.008890421215999533,nan,0.008890421215999533,0.008890421212959104,1.2040882180208712e-11,nan,,1,True,True,True,,True,0.52944245794788,0.00863183706596371,0.00863183706596371,0.00786154173158099,nan,0.00863183706596371,nan,nan,0.022106250282377005,pathampl,13,True,True,True,,-0.00025858415003582325,2.3990727000089507,0.6684377120907508,1.2603004855153461
10,5,100625,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.7470820839516819,0.0009676304147502313,0.0009676304147500092,0.0009676304147502313,nan,0.0009676304147502313,0.0009676304147465879,1.5276668818842154e-13,nan,,3,True,True,True,,True,0.33320445800200105,0.006328661494878984,0.000708994478063274,0.006328661494878984,nan,0.006328661494878984,nan,nan,0.019239291083067656,pathampl,8,True,True,True,,0.005361031080128753,0.44600782853675197,0.14403521726308666,0.047129642159271595
10,5,100626,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.8827109578996897,0.0044674774370035975,0.004467477436978118,0.0044674774370035975,nan,0.0044674774370035975,0.004467477436978043,1.1191048088221578e-13,nan,,4,True,True,True,,True,0.38902470795437694,2.6916358031314758e-11,2.6916358031314758e-11,9.977574322306282e-12,nan,2.6916358031314758e-11,nan,nan,0.023446999955922365,pathampl,10,True,True,True,,-0.004467477410087239,0.440715847552201,0.09207398285755994,0.44555328563682206
10,5,100627,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,5.082158999983221,0.008854454339432993,0.008854454339432771,0.008854454339432993,nan,0.008854454339432993,0.008854454339432475,6.661338147750939e-16,nan,,22,True,True,True,,False,0.3201686250977218,nan,nan,nan,nan,nan,nan,nan,nan,,,False,nan,nan,Cannot load a SolverResults object with bad status: error,nan,0.06299854551948864,nan,nan
10,5,100628,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.19918591622263193,0.0015205042116519518,0.0015205042116037681,0.0015205042116519518,nan,0.0015205042116519518,0.0015205042115974353,1.8254842082399136e-13,nan,,1,True,True,True,,True,0.040779207833111286,0.0017716503355627022,0.0,0.0017716503355627022,nan,0.0017716503355627022,nan,nan,0.02598825003951788,pathampl,1,True,True,True,,0.0002511461239107504,0.20472937347403614,0.06349477049357355,0.6080790478366771
10,5,100629,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,4.276303542312235,0.0,0.0,0.0,nan,0.0,0.0,2.4424906541753444e-15,nan,,23,True,True,True,,False,0.8343023750931025,nan,nan,nan,nan,nan,nan,nan,nan,,,False,nan,nan,Cannot load a SolverResults object with bad status: error,nan,0.19509896031421284,nan,nan
10,5,100630,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,2.0961090000346303,0.0003318527775455493,0.000331852777534114,0.0003318527775455493,nan,0.0003318527775455493,0.000331852777527493,6.405986852087153e-14,nan,,11,True,True,True,,True,0.37001562491059303,0.0,0.0,0.0,nan,0.0,nan,nan,0.017161000054329634,pathampl,11,True,True,True,,-0.0003318527775455493,0.17652499221389722,0.07861282211597576,0.12231811907555354
10,5,100631,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,4.665319750085473,1.0325074129013956e-13,2.020605904817785e-14,1.0325074129013956e-13,nan,1.0325074129013956e-13,0.0,3.0804248041249593e-12,nan,,21,True,True,True,,True,0.6906145829707384,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,nan,3.3306690738754696e-16,nan,nan,0.019076082855463028,pathampl,21,True,True,True,,-1.0291767438275201e-13,0.148031564815699,3.042573728345808e-11,7.164657755964754e-12
10,5,100632,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,2.537116499617696,7.66053886991358e-15,7.66053886991358e-15,0.0,nan,7.66053886991358e-15,0.0,7.66053886991358e-15,nan,,11,True,True,True,,True,0.5541276251897216,0.0,0.0,0.0,nan,0.0,nan,nan,0.019680750090628862,pathampl,11,True,True,True,,-7.66053886991358e-15,0.21840842754884138,8.186084220060093e-13,1.8400760222382386e-16
